,ingredient,category,description,rating,rating_num
746,gossypium herbacuem seed oil,plant extracts,"Also known as cotton seed oil, this non-fragrant plant oil may cause...",Good,3.0
747,gotu kola,"plant extracts, antioxidants",,Best,5.0
748,grapefruit oil,"plant extracts, fragrance: synthetic and fragrant plant extracts, sensitizing",Citrus oil whose volatile components (chiefly substances known as furocoumarins) are sensitizing...,Poor,-1.0
749,grapefruit peel extract,"sensitizing, plant extracts",Typically listed as citrus grandis (grapefruit) peel extract on the ingredient list...,Poor,-1.0
750,grapefruit seed extract,uncategorized,"Labelled as Citrus paradisi (grapefruit) seed extract, this is often claimed as a natural preservative...",Poor,-1.0
751,grape seed extract,"antioxidants, plant extracts",Grape seed extract has been shown to help diminish free-radical damage…,Best,5.0
752,grape seed oil,"antioxidants, plant extracts, emollients","Emollient, non-fragrant plant oil that also has excellent antioxidant properties...",Best,5.0
753,green tea,"skin-soothing, antioxidants, plant extracts","Significant amounts of research have established that tea, including black, green, and white tea...",Best,5.0
754,gromwell,"skin-soothing, plant extracts, antioxidants",,Best,5.0
755,guarana,"plant extracts, sensitizing",Herb that contains two and a half times more caffeine than coffee. It can have constricting...,Poor,-1.0
756,guar gum,"plant extracts, thickeners/emulsifiers",Plant-derived thickening agent...,Good,3.0
757,guar hydroxypropyltrimonium chloride,"thickeners/emulsifiers, texture enhancer, miscellaneous",,Good,3.0
758,guava,"antioxidants, plant extracts","Guava extract is a rich source of bioactive antioxidants including gallic acid, quercetin, and tocopherol.",Best,5.0
759,gums,"plant extracts, film-forming/holding agents, texture enhancer","Substances that have water-binding properties, but that are used primarily as thickening agents in...",Good,3.0
760,haematococcus pluvialis extract,"antioxidants, plant extracts",,Best,5.0
761,hamamelis virginiana,"antioxidants, sensitizing, plant extracts",,Poor,-1.0
762,hamamelitannin,"antioxidants, sensitizing",Tannin that is found in witch hazel. It can be a skin sensitizer but it also has antioxidant...,Poor,-1.0
763,haslea ostrearia extract,"antioxidants, emollients, texture enhancer, thickeners/emulsifiers, plant extracts",Extract derived from a water plant also known as blue algae. In pure concentrations this extract...,Good,3.0
764,hayflower extract,"plant extracts, sensitizing","Plant extract that, due to its constricting effect on skin, can be sensitizing There is no...",Poor,-1.0
765,hazelnut oil,emollients,Oil extracted from the hazelnut and that is used as an emollient.,Good,3.0
766,hectorite,texture enhancer,"A type of clay used in cosmetics that enhances texture by imparting a smooth, silky feel.",Good,3.0
767,hedera helix,"plant extracts, sensitizing",,Poor,-1.0
768,hedione,"fragrance: synthetic and fragrant plant extracts, sensitizing","Synthetic fragrant component in products, which also can be a skin sensitizer.",Poor,-1.0
769,helianthus annuus (sunflower) seed oil,"plant extracts, emollients, antioxidants","Helianthus annuus (sunflower) seed oil is a non-volatile, non-fragrant plant oil used as an emollient in cosmetics.",Best,5.0
770,helianthus oil,"plant extracts, emollients",,Best,5.0
771,hemp seed oil,"plant extracts, emollients","From the hemp plant, Cannabis sativa.",Best,5.0
772,hesperidin,"antioxidants, plant extracts",Flavonoid found in various plants such as citrus and evening primrose oil. It has potential as a...,Best,5.0
773,hesperidin methyl chalcone,"antioxidants, plant extracts",Citrus bioflavonoid often seen in products claiming to improve dark undereye circles. There is...,Good,3.0
774,hexanoyl dipeptide-3 norleucine acetate,skin-restoring,Hexanoyl dipeptide-3 norleucine acetate is a synthetic peptide that helps skin’s surface shed properly and speeds up surface renewal for fresher-looking skin.,Best,5.0
775,hexyl cinnamal,"fragrance: synthetic and fragrant plant extracts, sensitizing",A fragrance ingredient used in many perfumes and often seen in fragranced skincare products...,Poor,-1.0
776,hexyldecanol,"emollients, skin-softening","A synthetic, non-drying fatty alcohol used as an emollient and skin-conditioning agent.",Good,3.0
777,hexylene glycol,slip agents,,Good,3.0
778,hexyl laurate,"emollients, skin-softening",Skin-softening agent and emollient that is a mixture of hexyl alcohol and lauric acid.,Good,3.0
779,hexylresorcinol,antioxidants,A synthetic ingredient that has been shown to have skin brightening ability but there is very limited research about it on skin...,Average,1.0
780,hibiscus,"antioxidants, skin-restoring, plant extracts",Fragrant plant,Good,3.0
781,himanthalia elongate extract,"antioxidants, plant extracts, thickeners/emulsifiers, emollients",Extract of a species of algae.,Good,3.0
782,hippophae rhamnoides,"antioxidants, plant extracts",,Best,5.0
783,hippophae rhamnoides (seaberry) fruit extract,"antioxidants, plant extracts","Also known as sea buckthorn, seaberry is a good source of vitamin C as well as various B vitamins, vitamin E.",Best,5.0
784,histidine,antioxidants,,Good,3.0
785,hoelen,"plant extracts, preservatives",A mushroom that grows underground on the roots of pines and other trees around the world. It has...,Best,5.0
786,homosalate,sunscreen actives,FDA-approved sunscreen active ingredient that primarily provides UVB protection. Its UVA range is...,Average,1.0
787,honey,"skin-soothing, vitamins, antioxidants",Substance produced by bees from the nectar of flowering plants. Composed primarily of the...,Best,5.0
788,honey extract,"skin-soothing, antioxidants, vitamins",,Best,5.0
789,honeysuckle flower extract,"skin-soothing, plant extracts",Plant extract that functions as a soothing agent. It is a very good source of flavonoids...,Best,5.0
790,hops,"antioxidants, plant extracts","There is no research showing that hops have any benefit for skin. However, components in hops may...",Average,1.0
791,hordeum vulgare extract,"antioxidants, plant extracts",,Average,1.0
792,horse chestnut extract,"skin-soothing, plant extracts",May have soothing properties for skin...,Good,3.0
793,horse elder,"plant extracts, sensitizing",,Poor,-1.0
794,horseradish,"plant extracts, sensitizing",Plant that can sensitize skin and should never be applied to abraded skin.,Poor,-1.0
795,horsetail extract,"antioxidants, plant extracts","Plant extract that has antioxidant and soothing properties, but there's no solid research showing it can and does exert these effects...",Average,1.0
796,hortonia floribunda leaf extract,plant extracts,No research shows this plant as having any benefit for skin although it and other plant components...,Average,1.0
797,huang qi,"antioxidants, plant extracts",,Good,3.0
798,humulus lupulus extract,"plant extracts, antioxidants",,Average,1.0
799,hyaluronic acid,"antioxidants, skin-replenishing, skin-restoring",Component of skin that is used in skincare products as a good restorative ingredient....,Best,5.0
800,hydnocarpus anthelmintica,"plant extracts, sensitizing",,Poor,-1.0
801,hydrastis canadenis,"plant extracts, sensitizing",,Poor,-1.0
802,hydrocotyl extract,plant extracts,,Best,5.0
803,hydrogenated coco-glyceride,"thickeners/emulsifiers, texture enhancer, emollients",Used as an emollient and thickening agent in cosmetics.,Good,3.0
804,hydrogenated didecene,"thickeners/emulsifiers, texture enhancer","Skin-conditioning agent derived from didecene, which is a hydrocarbon. Hydrocarbons are organic...",Good,3.0
805,hydrogenated lecithin,"skin-restoring, emollients",,Best,5.0
806,hydrogenated olive oil,"antioxidants, plant extracts, emollients","When a plant oil is hydrogenated, it is chemically converted gas from a liquid to a semi-solid or...",Best,5.0
807,hydrogenated palm glycerides,"antioxidants, skin-replenishing, emollients","Palm glycerides are the fatty acid component of palm oil. When a plant oil is hydrogenated, it is...",Good,3.0
808,hydrogenated polydecene,emollients,Synthetic polymer that functions as an emollient and skin-conditioning agent.,Good,3.0
809,hydrogenated polyisobutene,"emollients, skin-softening",Synthetic polymer used as a skin-conditioning agent and emollient.,Good,3.0
810,hydrogenated soybean oil,"antioxidants, emollients",Non-fragrant plant oil from soy that has been hydrogenated so it retains a semi-solid rather than liquid state.,Best,5.0
811,hydrogenated starch hydrolysate,"film-forming/holding agents, hydration",,Good,3.0
812,hydrogenated vegetable glycerides citrate,"emollients, emulsifiers, texture enhancer",A hydrogenated blend of vegetable glycerides that functions chiefly as an emollient and emulsifier in cosmetics...,Good,3.0
813,hydrogen peroxide,sensitizing,There is a great deal of current research showing that hydrogen peroxide is problematic as a...,Poor,-1.0
814,hydrolyzed acacia macrostachya seed extract,"antioxidants, plant extracts","The extract from the seed of the Acacia macrostachya plant, a tropical shrub.",Good,3.0
815,hydrolyzed algae extract,"emollients, antioxidants, plant extracts, texture enhancer","The hydrolyzed form of algae extract, and a rich source of polysaccharides for skin.",Best,5.0
816,hydrolyzed corn starch,absorbent,"A form of the natural absorbent corn starch that has been hydrolyzed, which means it has undergone...",Good,3.0
817,hydrolyzed eruca sativa (arugula) leaf,"antioxidants, plant extracts","When applied to skin, arugula is a good source of antioxidants and minerals to help defend skin from environmental damage.",Best,5.0
818,hydrolyzed glycosaminoglycans,"skin-replenishing, skin-softening","A skin-restorative ingredient that has been hydrolyzed, which is a chemical process involving the...",Best,5.0
819,hydrolyzed jojoba esters,"plant extracts, emollients, skin-softening","Essential fatty acids from the jojoba plant, broken down by water to form a new complex with...",Best,5.0
820,hydrolyzed jojoba protein,"plant extracts, emollients","Protein fraction of seeds from the jojoba plant that has been hydrolyzed, which is a chemical...",Good,3.0
821,hydrolyzed pumpkin seedcake,"plant extracts, hydration",Hydrolyzed pumpkin seedcake is a plant-derived ingredient that protects skin from moisture loss to support firmness.,Best,5.0
822,hydrolyzed rhodophycea (red algae) extract,"skin-soothing, antioxidants, hydration","Hydrolyzed rhodophycea is a type of red algae that, like most other types used in skin care products, helps improve skin’s hydration.",Best,5.0
823,hydrolyzed silk,"antioxidants, slip agents",,Good,3.0
824,hydrolyzed soy protein,"skin-soothing, antioxidants, plant extracts",,Best,5.0
825,hydrolyzed vegetable protein,"miscellaneous, hydration",Composed of various protein substances derived from vegetables and broken down by water to form a...,Good,3.0
826,hydrolyzed wheat protein,"plant extracts, film-forming/holding agents, texture enhancer","Protein fraction from wheat that has been hydrolyzed, which is a chemical process involving the...",Good,3.0
827,hydroxyacetophenone,"antioxidants, hydration",Hydroxyacetophenone is a synthetic antioxidant and skin-conditioning ingredient.,Good,3.0
828,hydroxyethyl acrylate/sodium acryloyl dimethyl taurate copolymer,"thickeners/emulsifiers, texture enhancer","A polymer that functions as a stabilizer, thickening agent, and opacifying agent.",Good,3.0
829,hydroxyethylcellulose,"plant extracts, film-forming/holding agents, texture enhancer, thickeners/emulsifiers",Plant-derived thickening agent typically used as a binding agent or emulsifier. Also used (most...,Good,3.0
830,hydroxyethylpiperazine ethane sulfonic acid,miscellaneous,"Also known by the acronym HEPES, hydroxyethylpiperazine ethane sulfonic acid is a buffering ingredient typically used to...",Average,1.0
831,hydroxyethyl urea,"hydration, skin-replenishing",,Good,3.0
832,hydroxylated lecithin,emollients,,Best,5.0
833,hydroxypropyl cyclodextrin,miscellaneous,,Good,3.0
834,hydroxypropyl guar,"plant extracts, thickeners/emulsifiers",,Good,3.0
835,hydroxypropyl starch phosphate,thickeners/emulsifiers,A plant-based or synthetic starch ingredient that functions as a thickener or bulking agent in cosmetics...,Good,3.0
836,hypericum extract,"antioxidants, sensitizing, plant extracts",,Good,3.0
